"","GEOID","county","hhincome","pct_pov","review_count","avg_rating","race.tot","avg_price","pct_white","hhincome_log","review_count_log","pct_pov_log","yelp_n"
"1","13063040202","Clayton County",33276,0.201342281879195,57,"2",2850,"1",0.0750877192982456,10.4128921671467,4.06044301054642,-1.55427627083253,1
"2","13063040308","Clayton County",28422,0.210718002081165,13,"3",4262,"1",0.260675739089629,10.2552705503944,1.97562185929071,-1.51086940093917,2
"3","13063040407","Clayton County",49271,0.108255066732575,29.3333333333333,"2",4046,"1",0.205140879881364,10.8052938902093,3.32083696432853,-2.13491140489526,3
"4","13063040408","Clayton County",44551,0.180956611876203,20,"4",8489,"1",0.168688891506656,10.7046143160011,3.04452243772342,-1.65570903969273,1
"5","13063040410","Clayton County",49719,0.114680191603269,41,"1",7166,"1",0.193692436505721,10.8143435429202,3.73766961828337,-2.08200328732393,1
"6","13063040411","Clayton County",57924,0.0906894208260968,18,"2",13311,"1",0.165126587033281,10.967059710559,2.94443897916644,-2.29571454112104,1
"7","13063040412","Clayton County",46530,0.176958407757081,72,"3",7920,"1",0.143813131313131,10.7480674368563,3.96178357300006,-1.67686910527753,3
"8","13063040414","Clayton County",40313,0.263539651837524,31,"2",2068,"1",0.300290135396518,10.6046773047393,3.46524738297581,-1.29630868833233,2
"9","13063040417","Clayton County",40231,0.263494809688581,17,"2",5850,"1",0.107008547008547,10.6026416553595,2.89037175789616,-1.29647263467282,1
"10","13063040510","Clayton County",49265,0.297548387096774,5,"4",3892,"1",0.0300616649537513,10.8051721320209,1.79175946922805,-1.17912284770251,1
"11","13063040512","Clayton County",41016,0.158646888567294,36,"2",5552,"1",0.0662824207492795,10.6219612910421,3.30602051741655,-1.77994816669718,2
"12","13063040513","Clayton County",63980,0.141615986099044,14,"2",4604,"1",0.119026933101651,11.0664821001335,2.70805020110221,-1.8864043621311,1
"13","13063040523","Clayton County",41688,0.163203753351206,4,"2",2984,"1",0.110924932975871,10.638208445006,1.6094379124341,-1.75328661246963,1
"14","13063040526","Clayton County",54334,0.216541566350375,19,"2",7061,"1",0.100552329698343,10.9030894908711,2.99573227355399,-1.48482683500033,1
"15","13063040606","Clayton County",45800,0.0978950885399265,18,"1",3894,"1",0.453775038520801,10.7322576868808,2.94443897916644,-2.22659592638309,1
"16","13063040608","Clayton County",68047,0.112143928035982,55,"1",13393,"1",0.121929366086762,11.1281008683294,4.02535169073515,-2.10255519159307,1
"17","13063040609","Clayton County",58750,0.0633592349073521,34,"2",6698,"1",0.178262167811287,10.9812166302878,3.55534806148941,-2.61238688037741,1
"18","13063040611","Clayton County",40995,0.261313868613139,26,"2",6850,"1",0.214306569343066,10.6214492894705,3.29583686600433,-1.30447894151896,1
"19","13063040612","Clayton County",34517,0.300434712606666,50,"4",7938,"1",0.209120685311162,10.4494969056366,3.93182563272433,-1.16978166507442,1
"20","13063040617","Clayton County",33359,0.273890142964635,43,"2",1329,"1",0.679458239277652,10.4153826042601,3.78418963391826,-1.25916793620236,1
"21","13063040622","Clayton County",51672,0.267144941634241,1,"4",8224,"1",0.19965953307393,10.8528648373981,0.693147180559945,-1.2832146546477,1
"22","13067030101","Cobb County",89819,0.119295131845842,21.5,"2",7908,"1",0.877718765806778,11.4056631420228,3.06994227611313,-2.04565764398394,2
"23","13067030103","Cobb County",89863,0.0217717717717718,30.8,"3",9369,"2",0.597609136514036,11.4061528416464,3.06009896713677,-3.44917706355029,5
"24","13067030104","Cobb County",52119,0.202420808653103,58,"2",3883,"1",0.783929951068761,10.861476694766,4.07753744390572,-1.54918602523645,1
"25","13067030106","Cobb County",64326,0.074100311703032,48,"4",7059,"NaN",0.539453180337158,11.0718746291371,3.89182029811063,-2.47574500567203,1
"26","13067030209","Cobb County",110000,0.0678673975463325,21,"4",7662,"2",0.685069172539807,11.6083265497335,2.38741641939495,-2.55274793044315,4
"27","13067030214","Cobb County",90469,0.041938855500392,15.5,"3",7654,"2",0.836948001045205,11.4128730585627,2.79174815439085,-2.95768810802319,2
"28","13067030215","Cobb County",75463,0.0595225793117702,22,"5",9696,"NaN",0.714005775577558,11.2315302553833,3.13549421592915,-2.66610369699044,1
"29","13067030219","Cobb County",121469,0.0440180586907449,20.5,"3",10652,"1",0.797408937288772,11.7074966873181,2.20335962363213,-2.91843686812485,2
"30","13067030220","Cobb County",91838,0.0777576853526221,16,"3",1663,"1",0.690318701142513,11.4278903157736,2.81739480158462,-2.43317583810521,2
"31","13067030223","Cobb County",76559,0.130149062349736,41.6666666666667,"3",6239,"1",0.589677832986055,11.2459475740767,3.41417597242102,-1.96504869172739,3
"32","13067030226","Cobb County",85264,0.0920718432510885,36.5,"4",11024,"1",0.510976052249637,11.3536248804517,2.8244871190806,-2.28207836803391,2
"33","13067030227","Cobb County",65673,0.15181962994731,43,"4",8236,"2",0.686862554638174,11.0925954190881,3.23817389512814,-1.82127295942183,6
"34","13067030228","Cobb County",50172,0.20901806328942,37.8333333333333,"3",7363,"2",0.602607632758387,10.8234116756427,3.25568810646388,-1.51860107179338,6
"35","13067030229","Cobb County",67768,0.125483199524234,33.8,"4",6819,"2",0.707288458718287,11.1239929374964,2.36748815749347,-1.99890763510066,5
"36","13067030230","Cobb County",79243,0.0475009394964299,29.75,"3",13473,"1",0.609589549469309,11.2804005459126,3.40195179778449,-2.85595399224397,4
"37","13067030231","Cobb County",109602,0.0300156081162204,90,"4",8329,"2",0.812702605354784,11.6047021365537,4.51085950651685,-3.21848569807205,1
